GEOID,tract_geoid,NAME,state,county,tract,total_population,median_age,median_household_income,male_population,female_population,male_share,female_share,youth_population,senior_population,youth_population_share,senior_population_share,poverty_status_population,poverty_count,poverty_rate,civilian_labor_force,unemployed_count,unemployment_rate,race_ethnicity_total,white_non_hispanic,black_non_hispanic,american_indian_alaska_native_non_hispanic,asian_non_hispanic,native_hawaiian_pacific_islander_non_hispanic,other_race_non_hispanic,two_or_more_races_non_hispanic,hispanic_or_latino,white_non_hispanic_share,black_non_hispanic_share,american_indian_alaska_native_non_hispanic_share,asian_non_hispanic_share,native_hawaiian_pacific_islander_non_hispanic_share,other_race_non_hispanic_share,two_or_more_races_non_hispanic_share,hispanic_or_latino_share,total_housing_units,occupied_housing_units,vacant_housing_units,housing_vacancy_rate,occupied_units_tenure_total,owner_occupied_units,renter_occupied_units,owner_occupancy_share,renter_occupancy_share,education_population_25_plus,high_school_or_higher_count,bachelors_or_higher_count,high_school_or_higher_rate,bachelors_or_higher_rate,average_household_size
37063000101,37063000101,Census Tract 1.01; Durham County; North Carolina,37,63,101,3727.0,38.4,89155.0,1885.0,1842.0,50.58,49.42,476.0,343.0,12.77,9.2,3711.0,286.0,7.71,2402.0,134.0,5.58,3727.0,1113.0,1783.0,0.0,18.0,0.0,0.0,172.0,641.0,29.86,47.84,0.0,0.48,0.0,0.0,4.61,17.2,1548.0,1460.0,88.0,5.68,1460.0,1160.0,300.0,79.45,20.55,3139.0,2775.0,1087.0,88.4,34.63,2.54
37063000102,37063000102,Census Tract 1.02; Durham County; North Carolina,37,63,102,3807.0,31.9,69052.0,1656.0,2151.0,43.5,56.5,966.0,354.0,25.37,9.3,3790.0,840.0,22.16,2233.0,32.0,1.43,3807.0,1600.0,1260.0,0.0,66.0,0.0,86.0,246.0,549.0,42.03,33.1,0.0,1.73,0.0,2.26,6.46,14.42,1867.0,1642.0,225.0,12.05,1642.0,776.0,866.0,47.26,52.74,2683.0,2266.0,1414.0,84.46,52.7,2.31
37063001001,37063001001,Census Tract 10.01; Durham County; North Carolina,37,63,1001,3579.0,35.4,32257.0,1936.0,1643.0,54.09,45.91,820.0,539.0,22.91,15.06,3579.0,1163.0,32.5,1740.0,194.0,11.15,3579.0,771.0,1548.0,0.0,31.0,0.0,38.0,59.0,1132.0,21.54,43.25,0.0,0.87,0.0,1.06,1.65,31.63,1761.0,1437.0,324.0,18.4,1437.0,698.0,739.0,48.57,51.43,2479.0,1976.0,537.0,79.71,21.66,2.48
37063001002,37063001002,Census Tract 10.02; Durham County; North Carolina,37,63,1002,5027.0,31.4,48717.0,2663.0,2364.0,52.97,47.03,1787.0,365.0,35.55,7.26,5027.0,1005.0,19.99,2302.0,132.0,5.73,5027.0,816.0,1227.0,0.0,0.0,0.0,38.0,148.0,2798.0,16.23,24.41,0.0,0.0,0.0,0.76,2.94,55.66,2192.0,1818.0,374.0,17.06,1818.0,468.0,1350.0,25.74,74.26,2801.0,1920.0,478.0,68.55,17.07,2.75
37063001100,37063001100,Census Tract 11; Durham County; North Carolina,37,63,1100,3111.0,33.6,33221.0,1823.0,1288.0,58.6,41.4,877.0,366.0,28.19,11.76,3107.0,884.0,28.45,1274.0,130.0,10.2,3111.0,559.0,1508.0,29.0,46.0,0.0,0.0,57.0,912.0,17.97,48.47,0.93,1.48,0.0,0.0,1.83,29.32,1458.0,1087.0,371.0,25.45,1087.0,277.0,810.0,25.48,74.52,2130.0,1580.0,452.0,74.18,21.22,2.46
37063001301,37063001301,Census Tract 13.01; Durham County; North Carolina,37,63,1301,1702.0,37.2,51838.0,922.0,780.0,54.17,45.83,399.0,243.0,23.44,14.28,1702.0,376.0,22.09,860.0,49.0,5.7,1702.0,317.0,770.0,36.0,0.0,0.0,44.0,64.0,471.0,18.63,45.24,2.12,0.0,0.0,2.59,3.76,27.67,992.0,852.0,140.0,14.11,852.0,241.0,611.0,28.29,71.71,1174.0,894.0,370.0,76.15,31.52,1.97
37063001303,37063001303,Census Tract 13.03; Durham County; North Carolina,37,63,1303,4367.0,20.9,54712.0,2029.0,2338.0,46.46,53.54,424.0,457.0,9.71,10.46,2029.0,479.0,23.61,1763.0,185.0,10.49,4367.0,1474.0,2054.0,6.0,207.0,0.0,7.0,102.0,517.0,33.75,47.03,0.14,4.74,0.0,0.16,2.34,11.84,843.0,767.0,76.0,9.02,767.0,443.0,324.0,57.76,42.24,1394.0,1299.0,699.0,93.19,50.14,2.62
37063001304,37063001304,Census Tract 13.04; Durham County; North Carolina,37,63,1304,2226.0,34.8,40962.0,995.0,1231.0,44.7,55.3,451.0,572.0,20.26,25.7,2220.0,536.0,24.14,957.0,67.0,7.0,2226.0,265.0,1462.0,0.0,42.0,0.0,17.0,62.0,378.0,11.9,65.68,0.0,1.89,0.0,0.76,2.79,16.98,1214.0,1114.0,100.0,8.24,1114.0,415.0,699.0,37.25,62.75,1632.0,1332.0,418.0,81.62,25.61,1.96
37063001400,37063001400,Census Tract 14; Durham County; North Carolina,37,63,1400,2618.0,35.9,49214.0,1049.0,1569.0,40.07,59.93,676.0,315.0,25.82,12.03,2618.0,776.0,29.64,1403.0,98.0,6.99,2618.0,293.0,1579.0,24.0,0.0,0.0,0.0,0.0,722.0,11.19,60.31,0.92,0.0,0.0,0.0,0.0,27.58,1443.0,1207.0,236.0,16.35,1207.0,463.0,744.0,38.36,61.64,1722.0,1291.0,276.0,74.97,16.03,2.16
37063001501,37063001501,Census Tract 15.01; Durham County; North Carolina,37,63,1501,3333.0,19.9,,1408.0,1925.0,42.24,57.76,7.0,0.0,0.21,0.0,0.0,0.0,,1244.0,94.0,7.56,3333.0,1797.0,638.0,21.0,564.0,0.0,0.0,89.0,224.0,53.92,19.14,0.63,16.92,0.0,0.0,2.67,6.72,0.0,0.0,0.0,,0.0,0.0,0.0,,,65.0,65.0,65.0,100.0,100.0,
37063001503,37063001503,Census Tract 15.03; Durham County; North Carolina,37,63,1503,1846.0,19.6,,777.0,1069.0,42.09,57.91,7.0,0.0,0.38,0.0,0.0,0.0,,527.0,40.0,7.59,1846.0,1036.0,243.0,18.0,294.0,0.0,11.0,64.0,180.0,56.12,13.16,0.98,15.93,0.0,0.6,3.47,9.75,0.0,0.0,0.0,,0.0,0.0,0.0,,,29.0,29.0,23.0,100.0,79.31,
