tract_geoid,tract_name,tract_area_sq_m,tract_area_sq_mi,GEOID,NAME,state,county,tract,total_population,median_age,median_household_income,male_population,female_population,male_share,female_share,youth_population,senior_population,youth_population_share,senior_population_share,poverty_status_population,poverty_count,poverty_rate,civilian_labor_force,unemployed_count,unemployment_rate,race_ethnicity_total,white_non_hispanic,black_non_hispanic,american_indian_alaska_native_non_hispanic,asian_non_hispanic,native_hawaiian_pacific_islander_non_hispanic,other_race_non_hispanic,two_or_more_races_non_hispanic,hispanic_or_latino,white_non_hispanic_share,black_non_hispanic_share,american_indian_alaska_native_non_hispanic_share,asian_non_hispanic_share,native_hawaiian_pacific_islander_non_hispanic_share,other_race_non_hispanic_share,two_or_more_races_non_hispanic_share,hispanic_or_latino_share,total_housing_units,occupied_housing_units,vacant_housing_units,housing_vacancy_rate,occupied_units_tenure_total,owner_occupied_units,renter_occupied_units,owner_occupancy_share,renter_occupancy_share,education_population_25_plus,high_school_or_higher_count,bachelors_or_higher_count,high_school_or_higher_rate,bachelors_or_higher_rate,average_household_size,total_arrests,arrest_weekend_events,arrest_evening_night_events,arrest_night_events,arrest_recent_activity_trend,arrest_activity_share,arrest_weekend_share,arrest_evening_night_share,arrest_night_share,felony_arrests,misdemeanor_arrests,felony_share,misdemeanor_share,most_common_offense,most_common_arrest_type,arrests_per_1000_population,arrests_density_per_sq_mi,population_density,primary_neighborhood,secondary_neighborhoods,neighborhood_overlap_count,local_moran_i,local_moran_p_sim,local_moran_z_sim,local_moran_quadrant,lisa_significant_05,lisa_significant_10,lisa_cluster
37063001002,Census Tract 10.02,36043071.66526407,13.916307770458525,37063001002,Census Tract 10.02; Durham County; North Carolina,37,63,1002,5027.0,31.4,48717.0,2663.0,2364.0,52.97,47.03,1787.0,365.0,35.55,7.26,5027.0,1005.0,19.99,2302.0,132.0,5.73,5027.0,816.0,1227.0,0.0,0.0,0.0,38.0,148.0,2798.0,16.23,24.41,0.0,0.0,0.0,0.76,2.94,55.66,2192.0,1818.0,374.0,17.06,1818.0,468.0,1350.0,25.74,74.26,2801.0,1920.0,478.0,68.55,17.07,2.75,4073,948,2060,1200,Decreasing,6.18,23.28,50.58,29.46,1272,2677,31.23,65.73,WARRANT SERVICE FOR OTHER JURISDICTION,On-View,810.22,292.68,361.23,Wellons Village,Old East Durham,2,0.1967351772073615,0.112,0.49915149168275047,1,False,False,Not significant
37063001100,Census Tract 11,15025224.385929972,5.801271567992157,37063001100,Census Tract 11; Durham County; North Carolina,37,63,1100,3111.0,33.6,33221.0,1823.0,1288.0,58.6,41.4,877.0,366.0,28.19,11.76,3107.0,884.0,28.45,1274.0,130.0,10.2,3111.0,559.0,1508.0,29.0,46.0,0.0,0.0,57.0,912.0,17.97,48.47,0.93,1.48,0.0,0.0,1.83,29.32,1458.0,1087.0,371.0,25.45,1087.0,277.0,810.0,25.48,74.52,2130.0,1580.0,452.0,74.18,21.22,2.46,3237,647,1636,919,Increasing,4.91,19.99,50.54,28.39,1076,2042,33.24,63.08,WARRANT SERVICE FOR OTHER JURISDICTION,Warrant/OFA,1040.5,557.98,536.26,Edgemont,"Cleveland-Holloway, Golden Belt, Downtown, Albright, Old East Durham, Franklin Village",7,2.847353007803589,0.001,4.730215629902672,1,True,True,High-High
37063001303,Census Tract 13.03,16418728.675887419,6.339306582282886,37063001303,Census Tract 13.03; Durham County; North Carolina,37,63,1303,4367.0,20.9,54712.0,2029.0,2338.0,46.46,53.54,424.0,457.0,9.71,10.46,2029.0,479.0,23.61,1763.0,185.0,10.49,4367.0,1474.0,2054.0,6.0,207.0,0.0,7.0,102.0,517.0,33.75,47.03,0.14,4.74,0.0,0.16,2.34,11.84,843.0,767.0,76.0,9.02,767.0,443.0,324.0,57.76,42.24,1394.0,1299.0,699.0,93.19,50.14,2.62,752,150,412,258,Decreasing,1.14,19.95,54.79,34.31,246,486,32.71,64.63,WARRANT SERVICE FOR OTHER JURISDICTION,On-View,172.2,118.62,688.88,College View,"North Carolina Central University, Southside / St. Teresa, Forest Hills",4,-0.07397148391147057,0.082,-0.9755975857165158,2,False,True,Not significant
37063001304,Census Tract 13.04,18395529.022904936,7.102553463273805,37063001304,Census Tract 13.04; Durham County; North Carolina,37,63,1304,2226.0,34.8,40962.0,995.0,1231.0,44.7,55.3,451.0,572.0,20.26,25.7,2220.0,536.0,24.14,957.0,67.0,7.0,2226.0,265.0,1462.0,0.0,42.0,0.0,17.0,62.0,378.0,11.9,65.68,0.0,1.89,0.0,0.76,2.79,16.98,1214.0,1114.0,100.0,8.24,1114.0,415.0,699.0,37.25,62.75,1632.0,1332.0,418.0,81.62,25.61,1.96,1219,292,578,324,Increasing,1.85,23.95,47.42,26.58,370,832,30.35,68.25,WARRANT SERVICE FOR OTHER JURISDICTION,On-View,547.62,171.63,313.41,College View,"Rockwood, Forest Hills, Parkside",4,-0.08188654899508084,0.464,-0.3133045597713377,4,False,False,Not significant
37063001400,Census Tract 14,20416779.271778625,7.882962547318392,37063001400,Census Tract 14; Durham County; North Carolina,37,63,1400,2618.0,35.9,49214.0,1049.0,1569.0,40.07,59.93,676.0,315.0,25.82,12.03,2618.0,776.0,29.64,1403.0,98.0,6.99,2618.0,293.0,1579.0,24.0,0.0,0.0,0.0,0.0,722.0,11.19,60.31,0.92,0.0,0.0,0.0,0.0,27.58,1443.0,1207.0,236.0,16.35,1207.0,463.0,744.0,38.36,61.64,1722.0,1291.0,276.0,74.97,16.03,2.16,2032,520,1030,651,Increasing,3.08,25.59,50.69,32.04,602,1384,29.63,68.11,ASSAULT ON FEMALE,On-View,776.17,257.77,332.11,Edgemont,"Old East Durham, Unity Village",3,1.2580063216353572,0.003,3.743752657191121,1,True,True,High-High
37063001501,Census Tract 15.01,29493748.83045767,11.387600086948444,37063001501,Census Tract 15.01; Durham County; North Carolina,37,63,1501,3333.0,19.9,,1408.0,1925.0,42.24,57.76,7.0,0.0,0.21,0.0,0.0,0.0,,1244.0,94.0,7.56,3333.0,1797.0,638.0,21.0,564.0,0.0,0.0,89.0,224.0,53.92,19.14,0.63,16.92,0.0,0.0,2.67,6.72,0.0,0.0,0.0,,0.0,0.0,0.0,,,65.0,65.0,65.0,100.0,100.0,,525,173,267,152,Increasing,0.8,32.95,50.86,28.95,200,319,38.1,60.76,DRIVING WHILE IMPAIRED,Warrant/OFA,157.52,46.1,292.69,Duke West Campus,Anderson St. / Wrightwood Park,2,0.030184193484603196,0.463,0.3075183604216523,3,False,False,Not significant
37063001706,Census Tract 17.06,63552940.85766826,24.537927646866112,37063001706,Census Tract 17.06; Durham County; North Carolina,37,63,1706,5248.0,35.9,78197.0,2882.0,2366.0,54.92,45.08,949.0,533.0,18.08,10.16,5248.0,469.0,8.94,3431.0,130.0,3.79,5248.0,2782.0,1218.0,0.0,410.0,0.0,0.0,250.0,588.0,53.01,23.21,0.0,7.81,0.0,0.0,4.76,11.2,3015.0,2818.0,197.0,6.53,2818.0,1315.0,1503.0,46.66,53.34,4083.0,3796.0,2767.0,92.97,67.77,1.86,295,63,139,80,Decreasing,0.45,21.36,47.12,27.12,99,192,33.56,65.08,ASSAULT ON FEMALE,On-View,56.21,12.02,213.87,American Village,"Walden Pond, Forest Oaks",3,0.05321018778943902,0.465,0.3195705074800975,3,False,False,Not significant
37063001708,Census Tract 17.08,70658246.30375002,27.28130141670168,37063001708,Census Tract 17.08; Durham County; North Carolina,37,63,1708,4723.0,45.0,78750.0,2097.0,2626.0,44.4,55.6,823.0,1012.0,17.43,21.43,4723.0,485.0,10.27,2231.0,373.0,16.72,4723.0,404.0,3292.0,0.0,226.0,0.0,34.0,146.0,621.0,8.55,69.7,0.0,4.79,0.0,0.72,3.09,13.15,2086.0,2024.0,62.0,2.97,2024.0,1224.0,800.0,60.47,39.53,3308.0,2946.0,838.0,89.06,25.33,2.32,468,168,235,156,Increasing,0.71,35.9,50.21,33.33,142,316,30.34,67.52,ASSAULT ON FEMALE,On-View,99.09,17.15,173.12,Old Farm,"Summer Meadow, Swann's Mill, Eno Trace, River Forest",5,0.07793940660003802,0.275,0.5195071671126403,3,False,False,Not significant
37063002008,Census Tract 20.08,55892958.553686574,21.580391944901848,37063002008,Census Tract 20.08; Durham County; North Carolina,37,63,2008,3878.0,48.2,221250.0,1875.0,2003.0,48.35,51.65,971.0,804.0,25.04,20.73,3878.0,86.0,2.22,1766.0,73.0,4.13,3878.0,3089.0,402.0,23.0,54.0,0.0,30.0,177.0,103.0,79.65,10.37,0.59,1.39,0.0,0.77,4.56,2.66,1461.0,1418.0,43.0,2.94,1418.0,1336.0,82.0,94.22,5.78,2782.0,2751.0,2332.0,98.89,83.82,2.73,93,36,55,35,Increasing,0.14,38.71,59.14,37.63,23,70,24.73,75.27,DRIVING WHILE IMPAIRED,On-View,23.98,4.31,179.7,Hope Valley,"Valleybrook, Hope Valley Green, Sunningdale, Mary Dell, Bent Creek / Woodberry Forest, Trotter Ridge",7,0.06399121022609262,0.455,0.335267328260545,3,False,False,Not significant
37063002013,Census Tract 20.13,58094179.952839345,22.430288278544555,37063002013,Census Tract 20.13; Durham County; North Carolina,37,63,2013,4888.0,42.4,124773.0,2260.0,2628.0,46.24,53.76,848.0,1053.0,17.35,21.54,4888.0,212.0,4.34,2980.0,30.0,1.01,4888.0,2772.0,1357.0,2.0,256.0,0.0,129.0,182.0,190.0,56.71,27.76,0.04,5.24,0.0,2.64,3.72,3.89,2106.0,2106.0,0.0,0.0,2106.0,1909.0,197.0,90.65,9.35,3765.0,3557.0,2558.0,94.48,67.94,2.32,144,63,65,32,Increasing,0.22,43.75,45.14,22.22,30,112,20.83,77.78,VIOLATE DOMESTIC VIOLENCE PROTECTIVE ORDER,On-View,29.46,6.42,217.92,Parkwood,"Audubon Park, Lake Park, Newhall Village, Lakehurst",5,0.01739859205791208,0.377,0.08156619117217045,3,False,False,Not significant
